NAME,COLOR,FEATURE,INCIDENCE_ANGLE,UNITS,L6,L0B,R0B,L5,L0G,R0G,L4,L0R,R0R,L3,L2,L1,R1,R2,R3,R4,R5,R6,L6_ERR,L0B_ERR,R0B_ERR,L5_ERR,L0G_ERR,R0G_ERR,L4_ERR,L0R_ERR,R0R_ERR,L3_ERR,L2_ERR,L1_ERR,R1_ERR,R2_ERR,R3_ERR,R4_ERR,R5_ERR,R6_ERR,LAB_SPECTRUM_TYPE
Montmorillonite,black,lab spectrum,0,IOF,0.572100418,0.612292971,0.612292971,0.669708779,0.672556721,0.672556721,0.699139169,0.698383555,0.698383555,0.711688844,0.731723136,0.74018339,0.74018339,0.739035373,0.731310301,0.72436948,0.730088156,0.732284385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phyllosilicate
Olivine Fo97,black,lab spectrum,0,IOF,0.690761751,0.715769233,0.715769233,0.748764206,0.751099388,0.751099388,0.772918802,0.77478352,0.77478352,0.782460539,0.768345038,0.749067129,0.749067129,0.728186057,0.716761038,0.70262461,0.677365316,0.654149854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Olivine
Hydromagnesite-cacb49,black,lab spectrum,0,IOF,0.655818725,0.695926527,0.695926527,0.75232444,0.75132289,0.75132289,0.770823358,0.75983578,0.75983578,0.752162945,0.743573338,0.755629743,0.755629743,0.757625828,0.749108074,0.74295365,0.748997951,0.743471324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbonate
Antarcticite,black,lab spectrum,0,IOF,0.765050731,0.765976033,0.765976033,0.767443883,0.765782101,0.765782101,0.762541223,0.765368239,0.765368239,0.766073441,0.765314768,0.761894416,0.761894416,0.771251228,0.768740344,0.766364282,0.746213281,0.741038289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chloride
Bischofite,black,lab spectrum,0,IOF,0.763716414,0.767715236,0.767715236,0.770184561,0.770614874,0.770614874,0.770445074,0.771903236,0.771903236,0.772035715,0.764044049,0.766735588,0.766735588,0.774650343,0.762704714,0.735394807,0.657550922,0.716465945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chloride
Plagioclase LAPL38 - FELD,black,lab spectrum,0,IOF,0.765493917,0.773624851,0.773624851,0.781124602,0.781966365,0.781966365,0.78830078,0.788376011,0.788376011,0.790523072,0.791539642,0.792530006,0.792530006,0.792773399,0.788905571,0.789317163,0.788767099,0.788635346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feldspar
Magnesite,black,lab spectrum,0,IOF,0.775920802,0.780435254,0.780435254,0.792834689,0.792976744,0.792976744,0.800103126,0.799337425,0.799337425,0.803657014,0.79877906,0.803921759,0.803921759,0.801656274,0.793973481,0.788152302,0.792827857,0.785982522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbonate
Alunite,black,lab spectrum,0,IOF,0.779818107,0.789102895,0.789102895,0.799820212,0.801129739,0.801129739,0.809358061,0.810172702,0.810172702,0.812637149,0.810831639,0.807026401,0.807026401,0.809055548,0.816208354,0.820919914,0.820878447,0.825741064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Rhomboclase,black,lab spectrum,0,IOF,0.69378794,0.735457369,0.735457369,0.761789648,0.769050463,0.769050463,0.801032383,0.80960771,0.80960771,0.825107327,0.81749302,0.816186577,0.816186577,0.825008214,0.831113407,0.835223864,0.843738066,0.85457464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Kainite,black,lab spectrum,0,IOF,0.745960007,0.770858443,0.770858443,0.800527812,0.803732297,0.803732297,0.823754182,0.82473167,0.82473167,0.829331612,0.830022857,0.827156484,0.827156484,0.834378095,0.824501322,0.821565136,0.802824738,0.788746524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chloride
