name,sol,ltst,seq_id,target_elevation,tau,focal_distance,incidence_angle,emission_angle,phase_angle,lat,lon,sclk,color,feature,formation,member,L2,R2,L0B,R0B,L1,R1,R0G,L0G,R0R,L0R,L4,L3,R3,L5,R4,R5,L6,R6,L2_err,R2_err,L0B_err,R0B_err,L1_err,R1_err,R0G_err,L0G_err,R0R_err,L0R_err,L4_err,L3_err,R3_err,L5_err,R4_err,R5_err,L6_err,R6_err
Photom east 2x1,60,16:47:43,mcam00276,-4521.794,0.717369,20.696,71.905,73.5693,70.946432,-4.589996,137.44834,,red,undisturbed soil,,,0.114899,,,,0.186146,,,,,,,0.51568,,,,,0.548942,,0.00728742,,,,0.00996405,,,,,,,0.0311729,,,,,0.0338768,
Red Sleep 1x2 Rall,994,11:45:06,mcam04399,,1.110045,16.93,3.7373,82.7563,82.818304,-4.6679505,137.37018,,dark blue,dusty rock,,,0.0700655,0.0781259,0.0992142,0.104693,0.129603,0.14595,0.180119,0.17572,0.318202,0.298971,0.332703,0.368029,0.41194,0.38197,0.402447,0.402815,0.377505,0.391614,0.00230526,0.00291659,0.00606319,0.00521158,0.00523815,0.00498241,0.0062362,0.00715722,0.0102169,0.0137653,0.0116564,0.0106878,0.0100879,0.0118485,0.0127292,0.0119362,0.0108195,0.0117069
Red Sleep 1x2 Rall,994,11:45:06,mcam04399,,1.110045,16.93,3.7373,82.7563,82.818304,-4.6679505,137.37018,,light blue,dusty rock,,,0.0637167,0.0817067,0.0909174,0.110187,0.118191,0.149355,0.186599,0.158831,0.327209,0.274441,0.305308,0.340798,0.424795,0.349035,0.413362,0.413676,0.346221,0.406719,0.00213595,0.003587,0.00490994,0.00684736,0.00336401,0.00602678,0.00847754,0.00586069,0.0125835,0.00819376,0.00609263,0.00765635,0.0142408,0.00840633,0.0161236,0.0155391,0.00851734,0.0143547
Red Sleep 1x2 Rall,994,11:45:06,mcam04399,,1.110045,16.93,3.7373,82.7563,82.818304,-4.6679505,137.37018,,light cyan,nodule-rich rock,,,0.052476,0.0589662,0.0735506,0.0764371,0.0930787,0.0998708,0.121339,0.118868,0.195876,0.195104,0.214669,0.233625,0.236796,0.236105,0.234012,0.230754,0.225874,0.224616,0.00635963,0.0121349,0.0153404,0.0209393,0.0133272,0.0188063,0.0268265,0.0207693,0.0393902,0.0301745,0.0269237,0.0289159,0.0411587,0.0326767,0.044569,0.0462597,0.0279807,0.0431957
Red Sleep 1x2 Rall,994,11:45:06,mcam04399,,1.110045,16.93,3.7373,82.7563,82.818304,-4.6679505,137.37018,,red,undisturbed soil,,,0.0371808,0.0456606,0.04861,0.0563953,0.0599214,0.0725972,0.0832173,0.0747005,0.131624,0.117447,0.131384,0.142858,0.163938,0.138644,0.157352,0.149595,0.13446,0.147089,0.00129245,0.00145783,0.00312545,0.00259723,0.00200535,0.0023006,0.00321502,0.00366134,0.00714907,0.00541149,0.00610342,0.00775446,0.0114247,0.00892643,0.0109374,0.0111534,0.00864056,0.0110526
Garlock 2x1,801,12:17:38,mcam03498,-4461.7656,1.504234,3.003,14.7354,36.541,38.802892,-4.6625735,137.37752,,dark red,disturbed soil,,,0.0646734,0.0830182,0.0686478,0.083674,0.0769369,0.0905399,0.104328,0.0900088,0.148208,0.13318,0.148818,0.16504,0.183745,0.161023,0.17343,0.170333,0.154013,0.166894,0.00396423,0.00527644,0.00513183,0.0075155,0.00440079,0.00577347,0.00790636,0.0058443,0.0106034,0.00800172,0.00865814,0.0093231,0.0135158,0.0101195,0.0147788,0.0149733,0.00988476,0.0143814
Bear Island,1693,12:03:36,mcam08822,-4280.1768,0.860462,6.21,5.9596,64.4657,58.506308,-4.718292,137.36221,,goldenrod,veins,,,0.074209,0.0774026,0.119944,0.109584,0.13501,0.136715,0.180038,0.200183,0.288805,0.290427,0.344063,0.375531,0.366874,0.357694,0.305974,0.314083,0.364427,0.330086,0.0260826,0.0280637,0.0454853,0.0415284,0.0485656,0.0469935,0.0528062,0.0574069,0.0840766,0.10799,0.0764828,0.0672419,0.0704907,0.108018,0.13056,0.128637,0.0937625,0.112169
Bear Island,1693,12:03:36,mcam08822,-4280.1768,0.860462,6.21,5.9596,64.4657,58.506308,-4.718292,137.36221,,light blue,dusty rock,Murray,Blunts Point,0.060281,0.0623514,0.0831544,0.0792915,0.10947,0.112528,0.134117,0.143181,0.230707,0.243779,0.266712,0.291848,0.296502,0.298911,0.281219,0.280341,0.296508,0.279449,0.00290469,0.00353356,0.00670236,0.00573224,0.00522986,0.00587921,0.0075554,0.00683999,0.011659,0.010249,0.0104366,0.0120316,0.0163062,0.0132744,0.0157881,0.0156751,0.0133531,0.0159725
Bear Island,1693,12:03:36,mcam08822,-4280.1768,0.860462,6.21,5.9596,64.4657,58.506308,-4.718292,137.36221,,light cyan,nodule-rich rock,Murray,Blunts Point,0.0458925,0.0483111,0.0602619,0.0556859,0.0690141,0.0725769,0.0814744,0.0827927,0.122279,0.120996,0.127695,0.132042,0.134814,0.132326,0.125864,0.122546,0.129058,0.124445,0.00903645,0.0120268,0.0175961,0.0171343,0.0107686,0.016897,0.0216931,0.0189679,0.0305345,0.0256231,0.0210893,0.0221809,0.0331941,0.030107,0.0315471,0.0311018,0.0290379,0.0306731
Bear Island,1693,12:03:36,mcam08822,-4280.1768,0.860462,6.21,5.9596,64.4657,58.506308,-4.718292,137.36221,,red,undisturbed soil,,,0.0345407,0.0420103,0.0440001,0.0497727,0.0511026,0.0608163,0.0693342,0.0616067,0.104558,0.0948261,0.10039,0.106186,0.121239,0.0980191,0.111254,0.10694,0.0934896,0.105487,0.00183318,0.00348226,0.00284617,0.00605688,0.0025296,0.00515001,0.00698017,0.00373551,0.0101541,0.00540135,0.00640418,0.00687588,0.0115502,0.00659335,0.0114025,0.0118387,0.00621096,0.0110759
